Id,Triple,Label
34200,17154 champions 3114,0
34201,28141 constituencyAm 28143,1
34202,550 tvannouncers 484,1
34203,19890 runnerup 36767,0
34204,33669 competition 6769,1
34205,8031 mvp 26459,0
34206,10031 nearSw 16491,1
34207,34196 primeminister 34193,1
34208,19475 altOfficeholder 30633,0
34209,6407 runnerup 13771,0
34210,31080 seat 10092,0
34211,3256 broadcastArea 19468,0
34212,37521 grandsire 13779,1
34213,6187 mainCharTeam 12934,0
34214,42743 honorificPrefix 40792,1
34215,22388 wdivision 19118,1
34216,32366 northwest 26901,0
34217,11145 northeast 16218,0
34218,11985 province 8299,0
34219,25773 constituency 24769,1
34220,1148 poll 8214,0
34221,13103 seats7Title 33465,0
34222,8983 receiver 11869,1
34223,40205 domesticpartner 31875,0
34224,24335 champion 26242,1
34225,21670 usNetwork 262,1
34226,9137 mfmf 9180,1
34227,43961 subdivisionRanks 1827,1
34228,18081 issue 18082,1
34229,8049 placeofburial 23484,0
34230,13514 nearN 13516,1
34231,15072 languages 14516,1
34232,35758 afterElection 35762,1
34233,3071 blank1InfoSec 28720,1
34234,40050 aircraftType 24461,0
34235,2936 presenter 2941,1
34236,31851 child 39923,0
34237,29762 archdiocese 29766,1
34238,34520 coach 11324,0
34239,10701 nominee 40426,0
34240,24105 week 24106,1
34241,34038 children 32806,0
34242,18198 elevationMaxPoint 28090,1
34243,25062 gold 23116,0
34244,43943 source 30647,0
34245,10013 tributariesRight 42307,1
34246,41285 mla 32596,0
34247,26815 arena 32063,1
34248,25025 rd2Team 18108,1
34249,20568 seasonChamps 20569,1
34250,34234 workInstitutions 19822,1
34251,35697 beforeElection 35698,1
34252,16193 see 36573,0
34253,8354 schooltype 41740,0
34254,24053 competition 31815,0
34255,17862 neighboringMunicipalities 7112,0
34256,9743 succeeded 14918,0
34257,3081 allLocations 17505,0
34258,903 md 910,1
34259,8655 continentalcup1Qualifiers 2560,0
34260,17619 rd2Team 25600,0
34261,41405 arena 17536,0
34262,41995 related 9082,0
34263,13123 coach 18617,1
34264,3023 parent 3025,1
34265,1663 seat 22524,0
34266,43496 extour 30713,0
34267,2892 mvp 41576,0
34268,40840 tvannouncers 6362,1
34269,7212 runnerup 39380,1
34270,18145 stategov 43737,0
34271,25414 captain 25416,1
34272,20040 lastagainst 37984,0
34273,437 afterElection 439,1
34274,4271 mainCharTeam 4272,1
34275,25364 playerTeam 25372,1
34276,24537 continentalcup1Qualifiers 24541,1
34277,18053 lcf 18060,1
34278,20435 religiousAffiliation 37554,0
34279,40363 seat 14920,0
34280,10618 mawards 8260,1
34281,22626 partof 15687,0
34282,8306 southeast 26562,1
34283,23281 homeCoach 36877,0
34284,37307 north 29604,0
34285,5921 nearE 35295,0
34286,9453 school 17602,0
34287,26249 denomination 8302,0
34288,6873 branches 410,0
34289,42240 leadersSeat 42243,1
34290,31482 longestLosses 23940,0
34291,18983 themeMusicComposer 18985,1
34292,39437 promoteFrom 39438,1
34293,23924 roadhr 19906,0
34294,8207 governmentType 38847,0
34295,42002 architect 25978,0
34296,28106 leagueAbove 28105,1
34297,29621 asstCoach 30169,0
34298,41351 commander 32399,1
34299,12359 cities 40874,1
34300,43912 promoted 35927,0
34301,28361 issue 2228,1
34302,29981 allies 817,1
34303,28876 generalContractor 41885,0
34304,41177 affiliations 41179,1
34305,17186 round 16581,0
34306,31406 websiteType 31407,1
34307,16568 rd3Team 7194,1
34308,14099 mfff 19234,0
34309,18497 domestCup 30561,1
34310,31882 rd2Team 31884,1
34311,34196 monarch 9990,1
34312,6706 range 6704,1
34313,28890 poll 1541,1
34314,11165 silver 11166,1
34315,24727 ruPosition 3804,0
34316,38456 nearSw 38457,1
34317,3408 champions 13571,1
34318,6755 third 6756,1
34319,11436 religions 10338,1
34320,13450 nearN 13409,1
34321,19916 relegated 19920,1
34322,38149 relegated 38155,1
34323,37956 discipline 4100,1
34324,13265 southeast 30501,0
34325,8064 shireCounty 42606,0
34326,19931 leaderName 20899,1
34327,15256 leaderName 15258,1
34328,14971 colour 4056,1
34329,19614 conference 35769,1
34330,21154 sisters 2417,1
34331,33630 chairman 33631,1
34332,43427 poleRider 27516,1
34333,576 keyPeople 579,1
34334,30159 organisation 16563,1
34335,5590 sports 12863,0
34336,30276 governingBody 37961,0
34337,8516 stat3label 18195,0
34338,3176 chairman 38434,0
34339,1553 visitorSchool 1559,1
34340,32344 southwest 32347,1
34341,4448 conference 41694,0
34342,29845 pastschools 29846,1
34343,28597 honorificSuffix 7974,0
34344,7207 moreUsers 24619,0
34345,15579 gm 15583,1
34346,7563 classBefore 27080,0
34347,9472 positionOrQuorum 12520,0
34348,21729 schoolboard 39917,0
34349,25163 teama 23150,0
34350,7047 neighboringMunicipalities 28318,1
34351,43720 line 43307,0
34352,42034 lp 40613,1
34353,33343 significantBuildings 299,0
34354,38298 route 38299,1
34355,777 children 5861,0
34356,11125 gold 11126,1
34357,20824 instruments 41810,0
34358,441 leagueTopscorer 36883,0
34359,19987 role 19989,1
34360,28341 currentTitle 28887,0
34361,19148 conf 153,0
34362,36336 usAnnouncers 6578,1
34363,25904 bowl 29503,0
34364,7042 score 42722,0
34365,15857 consecratedBy 15859,1
34366,16440 promotion 16441,1
34367,529 topGoalScorer 33987,0
34368,27847 developedInto 23727,1
34369,40018 rd3Team 40027,1
34370,1280 e 23553,0
34371,28276 south 29689,0
34372,6742 kicker 21164,0
34373,4345 branches 14158,1
34374,17830 north 17826,1
34375,13919 commander 13922,1
34376,34193 monarch 9990,1
34377,4665 south 4668,1
34378,9404 offCoach 9463,1
34379,1695 champions 24521,1
34380,13012 mpParty 7651,1
34381,39571 shireCounty 40079,0
34382,4521 south 4523,1
34383,8545 lieutenant 8547,1
34384,17754 usAnnouncers 15611,0
34385,31070 intercommunality 31071,1
34386,15956 subclassis 15957,1
34387,37674 district 23476,0
34388,40665 prev 19895,0
34389,9658 bowl 42345,0
34390,1187 openedBy 39003,0
34391,37661 churchmanship 39427,0
34392,24775 mouthLocation 22297,0
34393,27492 variantsWithTheirOwnArticles 10787,1
34394,5572 bordering 24158,0
34395,15736 officiallyOpenedBy 1523,1
34396,37635 north 30331,0
34397,6872 branches 7332,1
34398,5806 goalie 37434,0
34399,35474 weightClass 33474,1
34400,7469 bowlname 579,0
34401,5393 years 34564,1
34402,32437 nearestTown 18125,1
34403,17789 issue 17785,1
34404,37647 cup1Result 37650,1
34405,42922 lcf 30131,0
34406,22332 rd2Team 22339,1
34407,1976 rd2Team 1988,1
34408,1184 cauldron 39695,1
34409,15264 national 19787,1
34410,20944 sisters 2421,1
34411,39596 architecture 19847,0
34412,34284 services 20607,0
34413,38201 lyrics 38202,1
34414,2100 nearNe 37425,1
34415,21071 chairman 12677,0
34416,42731 dedication 37904,0
34417,16503 next 16504,1
34418,6834 restingplace 38428,1
34419,23813 visitorConference 526,1
34420,8094 towns 21416,0
34421,9998 garrison 7025,0
34422,40330 cities 33179,0
34423,10942 areaCodeType 6805,0
34424,8841 team(s)_ 28629,0
34425,12991 north 16316,0
34426,7582 locationCity 5029,1
34427,28278 draftTeam 42449,0
34428,41066 province 23013,0
34429,2192 stategov 43520,1
34430,36341 starterSf 36344,1
34431,10283 otherparty 23700,1
34432,24113 bowlResult 17393,1
34433,27410 poll 1436,1
34434,28971 fff 33753,0
34435,10688 hostCity 10690,1
34436,5143 southwest 14281,1
34437,32661 neighboringMunicipalities 32667,1
34438,10562 founder 10564,1
34439,41576 marchingband 12901,0
34440,4170 towns 4174,1
34441,8221 bowlname 17763,0
34442,40992 ruProclubs 42119,0
34443,42070 introducedBy 11666,0
34444,21680 commands 21681,1
34445,18998 peerage 18999,1
34446,34284 goalie 34286,1
34447,668 qb 671,1
34448,21203 motm 361,0
34449,43926 primemover 28332,1
34450,43035 teama 23232,1
34451,10980 goalsleader 10986,1
34452,5733 events 2727,0
34453,3071 blank1InfoSec 25619,1
34454,26596 alongside 15634,0
34455,6398 coach 11581,0
34456,34600 alongside 34602,1
34457,6563 namedFor 12181,1
34458,34002 longestLosses 14819,0
34459,3103 playerTeam 30949,1
34460,12241 primaryUser 13688,1
34461,33045 operatingSystem 33046,1
34462,11724 aka 14598,0
34463,10452 bowlname 14434,1
34464,13212 nearW 13205,1
34465,24395 skip 24401,1
34466,19355 knownFor 19356,1
34467,8146 mountains 8149,1
34468,17640 tourney 17638,1
34469,4393 restingPlace 27806,0
34470,3000 adminTeam 8944,0
34471,31495 heritageDesignation 26515,1
34472,20875 influenced 1218,0
34473,12554 radio 30654,0
34474,10798 monarch 10799,1
34475,9231 bowlname 25428,0
34476,12105 goalie 39072,0
34477,34877 continentalcup 34878,1
34478,38619 previous 38620,1
34479,7015 ideology 21363,1
34480,9772 establishedDate 3925,1
34481,2493 fossilRange 2494,1
34482,4192 arena 15141,1
34483,12435 goalie 16169,0
34484,3036 natlcoach 3037,1
34485,17509 generalManagers 16364,0
34486,21226 n 21228,1
34487,23271 eng1Name 35272,0
34488,4499 parentPeak 4501,1
34489,4603 currentTeam 4606,1
34490,13412 nearN 33841,0
34491,8415 seat 37526,0
34492,23929 relegated 22338,0
34493,36293 europarl 16675,0
34494,23158 publishingCity 15624,0
34495,38551 ideology 38552,1
34496,21919 billed 21921,1
34497,36253 winners 25098,0
34498,26313 tribus 24226,0
34499,879 chassis 883,1
34500,15912 uncles 1122,1
34501,12527 affiliations 33007,0
34502,1294 cauldron 16132,1
34503,12003 neighboringMunicipalities 12010,1
34504,14662 stat1label 10818,0
34505,38823 orientation 40884,1
34506,25114 diagnosis 32977,1
34507,1844 asstCoach 24546,0
34508,33948 mostSuccessfulClub 39950,1
34509,40451 hometown 36347,0
34510,39531 visitorConference 32389,0
34511,5031 establishedEvent 19170,1
34512,5945 finalfourcity 2179,0
34513,40853 other 169,1
34514,32883 line 32885,1
34515,42902 next 31514,0
34516,21454 county 29798,0
34517,11914 populationRank 23766,0
34518,1757 architecture 1758,1
34519,9812 team2association 42211,0
34520,15521 fedgov 15523,1
34521,19497 nw 19491,1
34522,41587 cityServed 31271,0
34523,12461 nearS 33337,0
34524,2822 principal 21343,1
34525,7446 1namedata 7456,1
34526,37062 statlabel 1202,1
34527,34012 notableCommanders 13037,0
34528,5143 east 39614,0
34529,42533 issue 42656,1
34530,5009 meetingPlace 11496,0
34531,33738 company 33740,1
34532,1243 caption 31502,0
34533,15839 usNetwork 43305,0
34534,8625 diocese 586,0
34535,1251 east 1264,1
34536,40249 nearSe 26349,0
34537,6812 variable 6814,1
34538,31904 chairman 31907,1
34539,32059 line 32062,1
34540,24949 largestCity 11241,0
34541,10951 playingTeam 10952,1
34542,7582 services 36727,1
34543,18915 preceded 26785,0
34544,29531 firstTeam 6168,0
34545,25614 west 5906,0
34546,21207 frozenfourarena 7206,0
34547,17013 nearE 17015,1
34548,18323 workInstitutions 17687,1
34549,17094 leadersSeat 25178,1
34550,18483 usNetwork 39921,0
34551,9280 nearS 9290,1
34552,24422 stat1label 535,1
34553,36936 debutteam 36937,1
34554,24889 blank3NameSec 28672,1
34555,22197 honorificPrefix 418,1
34556,30641 discoverer 30642,1
34557,25924 bronze 25925,1
34558,20199 blank1Name 748,1
34559,24023 meetingPlace 24026,1
34560,15905 creator 15923,1
34561,42462 portrayer 33849,0
34562,9148 ffff 9401,1
34563,19924 usAnnouncers 26686,0
34564,18297 gamename 22733,1
34565,21297 arena 28423,1
34566,8596 generalManagers 8599,1
34567,27972 unit 27973,1
34568,42387 topTryScorer 812,0
34569,43594 winners 38416,0
34570,38992 creator 32075,0
34571,17103 runnerUp 17112,1
34572,34302 homeStation 19968,1
34573,7980 famousPract 32912,0
34574,16654 colour 38264,0
34575,7496 secondRider 25988,0
34576,31036 basketballarena 35431,1
34577,3604 south 20886,1
34578,5410 poll2title 5187,1
34579,38885 teamhonour 36221,1
34580,1374 north 34656,0
34581,36670 style 15506,0
34582,30867 primeminister 33110,0
34583,39829 ruProclubs 13733,0
34584,136 structuralEngineer 35873,0
34585,4736 originalteam 24064,0
34586,38593 ideology 38595,1
34587,35320 leagues 5274,0
34588,42764 rd3Team 19479,0
34589,9654 postseason 6398,1
34590,22875 runningMate 22880,1
34591,3241 coach 35134,1
34592,21575 governmentType 21576,1
34593,35490 blank1NameSec 4985,1
34594,38010 jurisdiction 22780,0
34595,32727 goalie 32735,1
34596,34094 constituencyWestminster 34100,1
34597,24758 asstCoach 11945,0
34598,19295 tributariesLeft 32263,1
34599,28060 rd 28060,1
34600,6420 brighteststarname 6419,1
34601,25321 allegiance 310,1
34602,17736 bowl 5495,1
34603,30709 assemblyconstituencies 30715,1
34604,27977 mostAwards 27979,1
34605,18272 arena 18274,1
34606,31501 homeCoach 13057,1
34607,25800 wdomestic 23897,0
34608,7113 programmedIn 2347,1
34609,27656 relegation 30562,0
34610,21649 unrankedDivisio 445,1
34611,36802 usAnnouncers 36805,1
34612,14329 arena 27401,0
34613,15976 satServ 15977,1
34614,23759 meetingPlace 23925,1
34615,14773 monarch 5762,0
34616,16759 issuingAuthority 43419,0
34617,25485 second 25486,1
34618,39973 seasonslistnames 39974,1
34619,18135 usAnnouncers 30236,0
34620,26645 shireDistrict 26646,1
34621,21947 succession 10,0
34622,6104 islandGroup 6106,1
34623,12500 hostCity 10077,0
34624,40778 university 40781,1
34625,10284 leaderParty 10285,1
34626,28499 west 28500,1
34627,8254 lieutenantGovernor 16246,0
34628,5751 east 5752,1
34629,39767 source 25680,1
34630,8655 continentalcup1Qualifiers 11394,1
34631,7200 locationCity 3184,0
34632,31971 previous 16574,0
34633,30637 diocese 5511,0
34634,43371 supercup 29665,1
34635,718 runner 41891,0
34636,2545 start 14366,1
34637,21968 placeOfBurial 41722,1
34638,4778 nearS 8395,0
34639,26043 west 26045,1
34640,21680 championdance 37805,0
34641,33950 mff 26625,0
34642,17798 child 27786,0
34643,585 sportingAffiliations 3683,0
34644,21875 nearSe 5599,0
34645,27811 host 13613,0
34646,9514 week 9519,1
34647,1844 poll2title 1792,1
34648,4449 rd2Team 8946,0
34649,28548 fcl 1716,1
34650,27758 doctoralStudents 27756,1
34651,7441 areaCodeType 28576,0
34652,35483 mf 28611,0
34653,29152 commands 34870,0
34654,21321 replacedNames 2915,0
34655,8899 blank1NameSec 7837,0
34656,20868 imageCaption 34543,1
34657,8997 halftime 13892,0
34658,15231 unitaryScotland 15232,1
34659,21956 creator 15269,1
34660,34917 playerTeam 18802,1
34661,15968 second 15969,1
34662,6833 winterPrev 11103,0
34663,5121 demoCd 5215,0
34664,22152 riding 23373,0
34665,12926 creators 4273,1
34666,40852 t 6423,0
34667,42174 east 42175,1
34668,22954 semifinal 35517,0
34669,27595 lastagainst 27596,1
34670,11762 primaryUser 5571,0
34671,20932 leaderName 23211,1
34672,3404 champions 2446,0
34673,3792 lowerRank 3789,1
34674,8826 rite 29298,0
34675,23404 usAnnouncers 469,1
34676,26974 conference 26975,1
34677,1490 relations 1493,1
34678,31462 religiousAffiliation 20062,1
34679,18425 stat1label 12541,0
34680,9436 aircraftTransport 12415,0
34681,43591 powertype 33461,0
34682,22552 east 22551,1
34683,2550 weightClass 2551,1
34684,3255 creator 3257,1
34685,11679 gamename 1434,1
34686,40347 west 40349,1
34687,27290 ruPosition 37555,0
34688,20971 asstCoach 20973,1
34689,40637 mvp 41889,0
34690,8876 marchingband 32070,1
34691,3525 diocese 3524,1
34692,41211 arena 41359,1
34693,25479 organisation 1413,1
34694,28508 interaction 28512,1
34695,21223 arena 30705,0
34696,19203 constituencyWestminster 12996,1
34697,40444 range 27659,0
34698,40532 discipline 31338,0
34699,32808 nominee 32809,1
34700,37819 generalmanager 37824,1
34701,28220 religiousAffiliation 29790,0
34702,8795 assemblyconstituencies 8793,1
34703,7797 nearSw 20367,0
34704,14171 succession 14173,1
34705,33380 gamename 1799,1
34706,3137 screenplay 11400,0
34707,26625 indexes 30923,0
34708,35091 affiliations 32135,0
34709,13188 tvannouncers 13189,1
34710,36497 gamename 36718,1
34711,6247 runner 27322,0
34712,15108 fff 22162,0
34713,3293 northeast 4324,1
34714,37625 nearSe 37634,1
34715,16617 divisio 5404,1
34716,39377 gamename 14943,0
34717,17652 dipstyle 5484,1
34718,26224 currentowner 5206,1
34719,14099 mmf 14108,1
34720,23622 subject 23623,1
34721,20799 father 21815,0
34722,4407 unitaryScotland 22784,0
34723,29855 vicepresident 1737,0
34724,13286 nearS 24376,0
34725,20794 unitaryScotland 40010,0
34726,39113 south 39207,0
34727,24742 publishingCity 25558,0
34728,26328 county 26329,1
34729,40444 listing 11805,1
34730,18266 text 17918,0
34731,39527 channel 39528,1
34732,23848 variantsWithTheirOwnArticles 26675,0
34733,11270 neighboringMunicipalities 38325,0
34734,3707 north 3709,1
34735,8567 populationBlank 1416,0
34736,16322 mostAwards 16325,1
34737,29300 fourthofficial 32172,0
34738,23685 script 22620,0
34739,1011 family 1014,1
34740,6112 predecessorLine 43495,1
34741,27575 bowl 27585,1
34742,4486 mawards 33383,1
34743,11706 related 11718,1
34744,37789 children 37791,1
34745,39668 nearW 39673,1
34746,25798 eng1Name 39718,1
34747,31900 neighboringMunicipalities 31901,1
34748,41342 shipType 36503,0
34749,4730 allWriting 13821,0
34750,29219 usAnnouncers 1038,1
34751,34913 rival 34915,1
34752,7866 blankInfoSec 39456,0
34753,1837 employer 13608,0
34754,42764 rd4Team 42781,1
34755,35828 homeState 13023,1
34756,1527 populationBlank1Title 22649,1
34757,20109 nearS 33426,0
34758,20664 keyPeople 20672,1
34759,30832 rd2Team 25741,0
34760,4150 partof 14883,0
34761,9408 tributariesRight 12826,0
34762,17445 topGoalScorer 17518,0
34763,7980 famousPract 17518,0
34764,36787 creator 3257,0
34765,2347 license 6831,0
34766,9664 tvannouncers 503,0
34767,8098 commander 8100,1
34768,14233 award1Type 31770,0
34769,31097 ruPosition 31098,1
34770,29395 constituency 35710,1
34771,11784 leaderName 11785,1
34772,35102 differential 43295,1
34773,5708 architecture 22659,1
34774,8060 unrankedRegnum 8062,1
34775,29779 arena 16830,0
34776,4103 formerpartner 32442,0
34777,24867 firstRound 36111,0
34778,3052 semifinal 11516,0
34779,10338 southwest 19373,0
34780,7535 asstCoach 18344,0
34781,23542 nominee 30357,0
34782,3400 semifinal 5996,1
34783,42705 father 29844,1
34784,4838 meetingPlace 28876,0
34785,27466 ncaaChampions 24335,1
34786,42616 cities 5836,1
34787,8480 archdeacons 18346,0
34788,29770 design 10676,1
34789,7249 leaderName 8489,0
34790,7211 postseason 6407,1
34791,25730 champions 8547,0
34792,22030 chamber1Leader 22037,1
34793,39916 gradesLabel 32477,0
34794,16408 homehr 23533,0
34795,3402 semifinal 9659,1
34796,10285 merger 13761,1
34797,28814 instruments 28783,1
34798,17714 books 17730,1
34799,38412 chancellor 41193,0
34800,28566 administrator 9125,0
34801,23404 usNetwork 42,1
34802,1216 visitorCoach 31502,0
34803,12790 generalContractor 36597,0
34804,17760 offCoach 13031,1
34805,11737 beforeElection 12947,0
34806,6865 historicSeat 23335,0
34807,26448 data 32175,0
34808,2862 nearN 41981,0
34809,35552 backgroundArtist 35553,1
34810,23008 relegation 21024,1
34811,9214 south 9217,1
34812,30144 divisio 5404,1
34813,5057 northeast 6939,1
34814,31744 hqLocationCity 4151,1
34815,16223 south 16250,1
34816,10653 silver 10654,1
34817,14626 tenants 14628,1
34818,14496 company 23341,0
34819,37160 nextElection 23755,0
34820,35108 previous 35109,1
34821,2788 blank1InfoSec 11530,0
34822,8175 east 12490,0
34823,25188 arena 25193,1
34824,33083 north 14089,0
34825,27114 lyrics 27115,1
34826,8167 infraordo 8315,0
34827,28949 grandsire 39389,1
34828,4784 nearNe 13081,0
34829,40221 garrison 40469,1
34830,28761 father 28762,1
34831,43356 accreditation 36361,0
34832,9560 secondDriver 31933,0
34833,31641 competition 23196,0
34834,33195 afterElection 11880,0
34835,25257 ffff 3328,0
34836,3268 fedgov 3266,1
34837,15060 establishedTitle 32054,0
34838,6789 mascot 38277,0
34839,43916 configuration 16891,0
34840,12974 constituency 12980,1
34841,3988 defendingChampions 41949,0
34842,5627 staff 12805,0
34843,38807 ruAmateurclubs 34595,1
34844,20444 introducer 29501,1
34845,17311 generalContractor 17312,1
34846,21297 postseason 28424,1
34847,18619 visitorConference 25973,0
34848,33051 citizenship 36639,0
34849,42037 loc 4611,1
34850,34126 longestWinless 34131,1
34851,12678 screenplay 12679,1
34852,39383 nameOfRace 12614,0
34853,20415 sponsor 33487,0
34854,4041 founder 20642,0
34855,42629 previous 42631,1
34856,7211 postseason 6401,1
34857,21866 conference 2760,1
34858,11142 countySpecial 11030,1
34859,7034 homeState 33957,0
34860,9771 house 12112,0
34861,10244 northeast 10301,1
34862,6693 leaderName 19446,0
34863,29418 cup1Result 29421,1
34864,18842 team2Captain 29166,0
34865,13791 combatant 20540,0
34866,29046 otherPost 39785,0
34867,13649 neighboringMunicipalities 13651,1
34868,5855 champions 5850,1
34869,17748 recruit 17750,1
34870,43158 shireCounty 9195,1
34871,5072 borough 5075,1
34872,39508 runnerup 4845,0
34873,39576 builders 13728,0
34874,3290 west 3285,1
34875,8810 issue 8813,1
34876,6674 range 24600,0
34877,39107 order 35041,0
34878,25182 start 39125,0
34879,18335 mostSuccessfulClub 11893,0
34880,15534 regent 20799,1
34881,34741 teams 34742,1
34882,40648 cteam 30305,0
34883,6506 designGroup 37409,0
34884,30735 poleDriver 27341,1
34885,32023 receiver 32028,1
34886,3081 allLocations 13966,1
34887,43419 bankOf 10295,0
34888,42892 teamb 14955,1
34889,6685 rd1t1Loc 6700,1
34890,9736 confederation 9737,1
34891,17872 tyres 43433,0
34892,7655 largestmetro 15626,0
34893,27635 father 20433,0
34894,349 agency 5194,1
34895,1875 sponsor 14197,0
34896,36372 cup1Result 36264,1
34897,15019 commonLanguages 34588,0
34898,27310 generalContractor 26812,0
34899,6685 1rpt2Loc 42868,0
34900,13158 monarch 3503,1
34901,34145 architect 20556,0
34902,28349 available 2935,0
34903,32696 relatives 29142,0
34904,19857 leadersSeat 34114,0
34905,15147 coach 14017,1
34906,40086 rd2Team 16767,0
34907,33817 arena 13673,0
34908,38083 captain 38084,1
34909,23835 binomialAuthority 30145,0
34910,34549 deputy 34552,1
34911,43307 satServ 21133,0
34912,20809 channel 4538,1
34913,3311 locationCity 27104,0
34914,40840 offScheme 15739,0
34915,6114 controlledby 10545,0
34916,11776 unit 20264,0
34917,36404 prevleague 31156,0
34918,23424 xd 39332,0
34919,25491 gm 25493,1
34920,29973 assemblyconstituencies 36004,0
34921,30384 conviction 874,1
34922,15227 coach 26974,1
34923,30785 constituencyWestminster 30789,1
34924,4607 issue 37520,1
34925,8205 aircraftHelicopter 32675,0
34926,13269 nearNe 13366,1
34927,23845 relegation 33948,1
34928,15420 prev 15423,1
34929,23867 accreditation 8423,1
34930,28432 competition 2019,1
34931,6006 precededBy 42909,1
34932,14975 teama 1588,0
34933,3306 honorificPrefix 12170,1
34934,10922 south 43662,0
34935,25025 rd2Team 25027,1
34936,31750 buildingType 31751,1
34937,22296 mouthLocation 22297,1
34938,43935 foundation 2016,0
34939,31915 offCoach 31916,1
34940,8203 gamesPlace 5669,1
34941,24859 alongside 24864,1
34942,40249 nearNw 26570,0
34943,912 peerage 916,1
34944,22870 placeOfConsecration 22872,1
34945,18770 starterPg 18777,1
34946,26488 champions 26489,1
34947,5895 constituencyMp 8215,0
34948,9877 runnerUp 27641,0
34949,4552 house 16192,0
34950,14938 ffff 32555,0
34951,7853 subheader 7855,1
34952,15296 south 38477,1
34953,40582 asstCoach 38007,0
34954,41058 areaCodeType 41370,0
34955,27099 nearE 29573,0
34956,15763 parliamentarygroup 3276,1
34957,14419 order 14420,1
34958,25776 alongside 4694,0
34959,14792 era 31816,1
34960,21547 chairman 28039,0
34961,18256 gamename 29823,0
34962,24121 gamename 5875,0
34963,30036 demographics1Title 1824,1
34964,18279 employer 18281,1
34965,11493 bird 20621,0
34966,6138 freeLabel 35402,0
34967,8049 commands 14030,0
34968,8796 subdivisionRanks 38331,0
34969,37954 style 32969,1
34970,14649 caption 14656,1
34971,6149 preceded 6156,1
34972,20388 highestLocation 2056,0
34973,26055 goalie 10209,1
34974,37628 nearNw 23382,0
34975,6604 arena 38277,0
34976,5840 governmentType 14316,1
34977,29354 assistsLeader 29357,1
34978,36739 nearE 39874,0
34979,762 conf 17501,0
34980,5437 rcb 31614,1
34981,22187 rd3Team 22190,1
34982,21454 county 3922,1
34983,11277 asstCoach 6167,1
34984,1950 cteam 11882,0
34985,39361 cityServed 3913,1
34986,38593 ideology 9969,1
34987,7623 majorApplications 36523,0
34988,17037 platform 8014,0
34989,5581 marchingband 27046,0
34990,28669 serviceType 39073,1
34991,14517 playerTeam 14523,1
34992,35313 fedgov 42320,0
34993,30508 poleTeam 29390,0
34994,43218 winners 15307,0
34995,43654 cteam 26239,0
34996,1302 cityServed 29447,0
34997,1234 champions 1238,1
34998,33410 nearN 23036,0
34999,19305 longestLosses 19311,1
35000,32854 subsid 34141,0
35001,16541 winners 35011,0
35002,15659 captain 15666,1
35003,24404 diocese 38113,0
35004,26036 rd1t2Loc 1528,0
35005,2368 calledBy 2367,1
35006,35021 teamb 33598,1
35007,18805 captain 14356,0
35008,23748 visitorCoach 20202,0
35009,6168 postseason 28299,0
35010,5716 hq 22295,0
35011,16494 strokes 5008,1
35012,11767 shipType 11769,1
35013,31496 winners 34483,0
35014,37838 constituencyScottishParliament 30790,0
35015,17301 purpose 17302,1
35016,34002 t 22224,1
35017,4989 competition 4992,1
35018,22467 competition 22468,1
35019,15699 commander 15701,1
35020,36452 leagueTopscorer 36453,1
35021,10687 data 30961,0
35022,23914 father 10569,0
35023,18275 bowl 18430,1
35024,2099 nearNw 25898,0
35025,38086 nominee 29849,0
35026,13657 wars 17642,0
35027,700 conference 38937,0
35028,15785 creator 15786,1
35029,28078 draftTeam 2828,1
35030,4273 firstRider 12610,0
35031,12665 goalie 12670,1
35032,21285 focus 16623,0
35033,20134 mostWickets 20138,1
35034,32699 mvp 26853,0
35035,2629 nearN 2518,0
35036,36278 gamename 13439,0
35037,6092 arena 39999,0
35038,29981 criminalActivities 28940,0
35039,29591 free 36020,1
35040,41338 image 22385,0
35041,4315 postseason 30584,0
35042,13284 nearW 1229,0
35043,39607 managers 39609,1
35044,7980 famousPract 7999,1
35045,2255 nearSe 2263,1
35046,24335 gamename 26244,1
35047,39222 rd1t2Loc 39223,1
35048,39756 order 39760,1
35049,1366 east 15508,0
35050,4193 gm 16256,0
35051,23429 genus 23999,0
35052,42764 rd2Team 42784,1
35053,6398 runnerup 23750,0
35054,6098 northwest 1503,0
35055,8636 area 35190,0
35056,42014 related 42020,1
35057,12860 sports 12864,1
35058,4411 shireDistrict 4414,1
35059,19714 usAnnouncers 6058,0
35060,28564 mostSuccessfulClub 35611,0
35061,5214 nearS 4858,0
35062,40011 surface 4723,1
35063,11110 nearE 17977,0
35064,6584 west 42143,1
35065,19903 lp 19915,1
35066,23824 terrServ 43889,0
35067,37591 stategov 34056,0
35068,22779 currentTeam 2973,0
35069,33014 shireCounty 4010,1
35070,993 distribution 995,1
35071,41842 champions 41846,1
35072,37805 coach 37812,1
35073,8508 southeast 20474,0
35074,27649 stat3label 1001,1
35075,24865 issue 24868,1
35076,14457 leadersSeat 38813,0
35077,29649 schoolboard 18145,0
35078,31209 neighboringMunicipalities 31227,1
35079,41017 separations 20227,0
35080,2477 east 23468,1
35081,26842 radio 26599,0
35082,41800 aircraftRecon 40820,0
35083,27470 hostCity 34260,0
35084,29474 department 21255,0
35085,26517 currentmpparty 28043,1
35086,10730 playerTeam 31861,1
35087,13877 secretary 36782,0
35088,9477 directedby 9480,1
35089,1303 mvp 23698,0
35090,2305 teamc 2308,1
35091,3373 monarch 12305,0
